Throughtput,rtt
2310,43
2310,81
2310,98
2310,35
2310,50
2310,38
2310,59
2310,67
2310,95
2310,66
2310,47
3827,84
3827,83
3827,91
3827,79
3827,24
3827,93
3827,49
3827,97
3828,48
3828,88
3850,21
3850,73
3850,85
3850,33
3850,87
3850,87
3850,39
3850,55
3850,34
3850,65
3850,77
3850,24
3850,71
2310,49
2999,88
1155,65
1155,71
2310,26
385,40
770,97
2310,39
2310,99
2310,51
2310,56
2310,62
2310,23
2310,76
2310,85
2310,99
3805,76
3805,59
3805,49
3805,94
3805,52
3805,83
3805,57
3805,66
3805,78
3805,60
3805,62
3805,71
3805,58
3827,38
3827,31
3827,96
3827,71
3683,78
3683,50
3683,54
3683,80
3683,76
3683,71
3683,38
3683,75
3683,76
3683,73
3683,23
3683,83
2310,69
2310,38
2310,62
2310,68
3827,31
3827,20
3827,46
2310,22
2786,40
2983,40
2983,98
2983,65
2983,96
2983,96
2983,38
2983,49
3064,32
3064,42
3064,78
3064,84
3064,71
2943,55
2943,33
2943,55
2943,55
2943,22
3047,21
3047,86
2310,98
2310,96
2310,41
2310,54
962,70
962,39
962,36
962,79
2310,85
2310,78
2310,44
2310,20
2310,29
2310,94
2310,87
2252,98
3661,88
3661,39
3661,57
3661,29
3661,67
3661,66
3661,60
3661,91
3661,63
3661,98
0,81
1859,73
1155,40
2310,26
2310,84
2310,31
2310,88
2310,62
1540,49
3738,87
2310,67
2310,78
2310,80
2310,83
2310,83
2310,87
2310,36
2310,92
2310,59
2310,65
2310,73
2310,72
2310,28
3610,77
3610,84
3610,27
3610,67
3610,97
3610,22
2975,75
2289,74
2941,24
2941,54
2941,69
2310,31
2310,33
2310,49
2310,54
2310,63
2310,24
2310,66
2310,39
2310,34
2310,99
2310,34
2310,59
2310,69
2310,59
2310,34
2310,68
2310,64
2310,95
2310,91
2310,63
2310,81
2310,58
2310,77
2310,57
2310,59
1925,71
1144,21
2310,59
2310,64
2310,55
3786,49
3786,27
3786,70
3786,58
3786,96
3786,85
3786,26
3786,77
3786,46
3806,27
3806,21
3806,98
3806,43
3850,22
3850,76
3850,46
3850,40
3850,43
3850,21
3850,93
3850,40
3850,64
3850,66
3850,55
3850,70
3850,46
3850,32
3850,86
3850,34
2310,28
2310,38
2310,87
2310,22
2310,53
2310,92
2310,77
2310,43
2310,40
2310,78
2310,43
2310,35
3723,41
3723,85
3723,91
3723,81
3723,89
3723,41
3723,54
3723,25
3723,95
2310,40
1155,65
3807,88
3807,32
3807,86
3807,20
2310,72
3741,61
3741,98
3741,92
3741,24
3741,89
3741,50
3741,36
3741,87
3741,91
3741,26
3741,57
3741,25
3741,93
3762,55
3762,41
3762,39
3762,55
3762,51
3762,28
3762,41
3762,47
3762,70
3762,70
3762,23
3762,52
3762,46
3762,45
3762,41
2310,38
2310,70
2310,72
2310,20
2310,48
2310,35
2310,37
3760,50
2310,81
2310,62
2310,56
2310,65
